iter,random_start,ad_start,actual_ad,in_db,detected_ad,input_confidence,result
0,819378,819378,saajna,True,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.04,True
1,819378,829378,saajna,True,Furlenco presents the Home Sapiens,0.05,True
2,819378,839378,saajna,True,Introducing iPhone 15  WOW  Apple,0.05,True
0,773756,773756,saajna,True,OnePlus 12 - Smooth Beyond Belief,0.09,True
1,773756,783756,saajna,True,Great for the Good  ft. Neeraj Chopra  CRED,0.04,True
2,773756,793756,saajna,True,Myntra x Kiara Advani (Flight),0.04,True
0,506456,506456,Furlenco presents the Home Sapiens-enc,False,OnePlus 12 - Smooth Beyond Belief,0.12,False
1,506456,516456,Furlenco presents the Home Sapiens-enc,False,OnePlus 11R 5G Solar Red  Relive the Red Rush,0.04,False
2,506456,526456,Furlenco presents the Home Sapiens-enc,False,Be Extraordinary Everyday With Myntra,0.05,False
0,858288,858288,Myntra x Kiara Advani (Flight)-enc,False,Be Extraordinary Everyday With Myntra,0.09,False
1,858288,868288,Myntra x Kiara Advani (Flight)-enc,False,Myntra x Kiara Advani (Flight),0.07,False
2,858288,878288,Myntra x Kiara Advani (Flight)-enc,False,Be Extraordinary Everyday With Myntra,0.07,False
0,437662,437662,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.08,False
1,437662,447662,Manyavar-enc,False,Introducing iPhone 15  WOW  Apple,0.06,False
2,437662,457662,Manyavar-enc,False,Farmlite Millet Cookies to make you go Ohohoho!,0.06,False
0,423478,423478,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.1,False
1,423478,433478,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.08,False
2,423478,443478,Manyavar-enc,False,Be Extraordinary Everyday With Myntra,0.05,False
0,616511,616511,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED,0.1,False
1,616511,626511,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED,0.11,False
2,616511,636511,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED,0.07,False
0,95324,95324,juice_wrld,True,OnePlus 12 - Smooth Beyond Belief,0.09,True
1,95324,105324,juice_wrld,True,Great for the Good  ft. Neeraj Chopra  CRED,0.04,True
2,95324,115324,juice_wrld,True,Great for the Good  ft. Neeraj Chopra  CRED,0.04,True
0,275679,275679,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.09,False
1,275679,285679,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.12,False
2,275679,295679,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.12,False
0,226696,226696,juice_wrld,True,Urban Company  Salon at Home,0.04,True
1,226696,236696,juice_wrld,True,Be Extraordinary Everyday With Myntra,0.04,True
2,226696,246696,juice_wrld,True,OnePlus 12 - Smooth Beyond Belief,0.09,True
0,26370,26370,subway-enc,False,subway,0.09,False
1,26370,36370,subway-enc,False,subway,0.09,False
2,26370,46370,Play it different  ft. Ravi Shastri  CRED-enc,False,Play it different  ft. Ravi Shastri  CRED,0.05,False
0,12812,12812,subway-enc,False,subway,0.08,False
1,12812,22812,subway-enc,False,subway,0.1,False
2,12812,32812,subway-enc,False,subway,0.11,False
0,149495,149495,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.09,True
1,149495,159495,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.09,True
2,149495,169495,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.09,True
0,597717,597717,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec",0.11,False
1,597717,607717,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec",0.06,False
2,597717,617717,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED,0.09,False
0,360258,360258,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.1,False
1,360258,370258,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.09,False
2,360258,380258,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.08,False
0,345045,345045,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.07,False
1,345045,355045,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.09,False
2,345045,365045,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.11,False
0,658704,658704,Great for the good  ft. Rahul Dravid  CRED-enc,False,Great for the good  ft. Rahul Dravid  CRED,0.07,False
1,658704,668704,Great for the good  ft. Rahul Dravid  CRED-enc,False,Great for the good  ft. Rahul Dravid  CRED,0.05,False
2,658704,678704,saajna,True,Farmlite Millet Cookies to make you go Ohohoho!,0.02,True
0,492654,492654,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!,0.09,False
1,492654,502654,Furlenco presents the Home Sapiens-enc,False,OnePlus 11R 5G Solar Red  Relive the Red Rush,0.04,False
2,492654,512654,Furlenco presents the Home Sapiens-enc,False,Furlenco presents the Home Sapiens,0.07,False
0,719375,719375,saajna,True,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.06,True
1,719375,729375,saajna,True,Furlenco presents the Home Sapiens,0.05,True
2,719375,739375,saajna,True,Furlenco presents the Home Sapiens,0.06,True
0,479788,479788,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!,0.12,False
1,479788,489788,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!,0.12,False
2,479788,499788,Furlenco presents the Home Sapiens-enc,False,Introducing iPhone 15  WOW  Apple,0.08,False
0,160357,160357,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.08,True
1,160357,170357,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.08,True
2,160357,180357,juice_wrld,True,verizon,0.05,True
0,623075,623075,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED,0.09,False
1,623075,633075,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Introducing iPhone 15  WOW  Apple,0.08,False
2,623075,643075,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED,0.12,False
0,858338,858338,Myntra x Kiara Advani (Flight)-enc,False,Be Extraordinary Everyday With Myntra,0.08,False
1,858338,868338,Myntra x Kiara Advani (Flight)-enc,False,Be Extraordinary Everyday With Myntra,0.07,False
2,858338,878338,Myntra x Kiara Advani (Flight)-enc,False,Be Extraordinary Everyday With Myntra,0.07,False
0,850244,850244,saajna,True,Be Extraordinary Everyday With Myntra,0.06,True
1,850244,860244,Myntra x Kiara Advani (Flight)-enc,False,Myntra x Kiara Advani (Flight),0.09,False
2,850244,870244,Myntra x Kiara Advani (Flight)-enc,False,Be Extraordinary Everyday With Myntra,0.07,False
0,696502,696502,saajna,True,Myntra x Kiara Advani (Flight),0.03,True
1,696502,706502,saajna,True,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.05,True
2,696502,716502,saajna,True,OnePlus 11R 5G Solar Red  Relive the Red Rush,0.03,True
0,518668,518668,Furlenco presents the Home Sapiens-enc,False,Be Extraordinary Everyday With Myntra,0.05,False
1,518668,528668,Furlenco presents the Home Sapiens-enc,False,OnePlus 12 - Smooth Beyond Belief,0.12,False
2,518668,538668,Introducing iPhone 15  WOW  Apple-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.07,False
0,206941,206941,juice_wrld,True,Be Extraordinary Everyday With Myntra,0.05,True
1,206941,216941,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.11,True
2,206941,226941,juice_wrld,True,Furlenco presents the Home Sapiens,0.05,True
0,599975,599975,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec",0.1,False
1,599975,609975,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,Great for the Good  ft. Neeraj Chopra  CRED,0.08,False
2,599975,619975,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED,0.07,False
0,152419,152419,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.09,True
1,152419,162419,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.1,True
2,152419,172419,juice_wrld,True,Furlenco presents the Home Sapiens,0.05,True
0,293400,293400,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.12,False
1,293400,303400,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.1,False
2,293400,313400,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.13,False
0,178483,178483,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.06,True
1,178483,188483,juice_wrld,True,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.04,True
2,178483,198483,juice_wrld,True,Be Extraordinary Everyday With Myntra,0.05,True
0,581946,581946,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec",0.09,False
1,581946,591946,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec",0.11,False
2,581946,601946,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec",0.1,False
0,469595,469595,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!,0.11,False
1,469595,479595,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!,0.1,False
2,469595,489595,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!,0.13,False
0,479793,479793,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!,0.13,False
1,479793,489793,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!,0.11,False
2,479793,499793,Furlenco presents the Home Sapiens-enc,False,No geometry box_ No problem for #SuperPapa!,0.03,False
0,831472,831472,saajna,True,subway,0.04,True
1,831472,841472,saajna,True,verizon,0.05,True
2,831472,851472,Myntra x Kiara Advani (Flight)-enc,False,Myntra x Kiara Advani (Flight),0.06,False
0,83049,83049,juice_wrld,True,Myntra x Kiara Advani (Flight),0.04,True
1,83049,93049,juice_wrld,True,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.04,True
2,83049,103049,juice_wrld,True,verizon,0.04,True
0,16748,16748,subway-enc,False,subway,0.08,False
1,16748,26748,subway-enc,False,subway,0.09,False
2,16748,36748,subway-enc,False,subway,0.09,False
0,261972,261972,juice_wrld,True,verizon,0.02,True
1,261972,271972,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.07,False
2,261972,281972,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.1,False
0,773222,773222,saajna,True,Furlenco presents the Home Sapiens,0.06,True
1,773222,783222,saajna,True,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.06,True
2,773222,793222,saajna,True,Farmlite Millet Cookies to make you go Ohohoho!,0.03,True
0,875560,875560,Myntra x Kiara Advani (Flight)-enc,False,Be Extraordinary Everyday With Myntra,0.08,False
1,875560,885560,Myntra x Kiara Advani (Flight)-enc,False,Spotify  Sabzi Mandi Sync,0.01,False
2,875560,895560,Myntra x Kiara Advani (Flight)-enc,False,Spotify  Sabzi Mandi Sync,0.01,False
0,418940,418940,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,False,OnePlus 12 - Smooth Beyond Belief,0.13,False
1,418940,428940,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.09,False
2,418940,438940,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.05,False
0,393112,393112,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.08,False
1,393112,403112,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.13,False
2,393112,413112,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.1,False
0,524312,524312,Furlenco presents the Home Sapiens-enc,False,Furlenco presents the Home Sapiens,0.07,False
1,524312,534312,Introducing iPhone 15  WOW  Apple-enc,False,subway,0.06,False
2,524312,544312,Introducing iPhone 15  WOW  Apple-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.05,False
0,273338,273338,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.06,False
1,273338,283338,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.13,False
2,273338,293338,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism,0.16,False
0,613856,613856,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED,0.08,False
1,613856,623856,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED,0.11,False
2,613856,633856,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED,0.07,False
0,575581,575581,Introducing iPhone 15  WOW  Apple-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.04,False
1,575581,585581,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec",0.09,False
