iter,random_start,ad_start,actual_ad,in_db,detected_ad,input_confidence,result
first_10_slice,5503,5503,subway-enc,False,subway-enc,0.04,True
second_10_slice,5503,15503,subway-enc,False,subway-enc,0.02,True
third_10_slice,5503,25503,subway-enc,False,subway-enc,0.05,True
first_20_slice,5503,5503,subway-enc,False,subway-enc,0.03,True
second_20_slice,5503,15503,subway-enc,False,subway-enc,0.03,True
thirty_second,5503,5503,subway-enc,False,subway-enc,0.03,True
first_10_slice,598832,598832,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",0.03,True
second_10_slice,598832,608832,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",0.02,True
third_10_slice,598832,618832,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.03,True
first_20_slice,598832,598832,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",0.02,True
second_20_slice,598832,608832,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.02,True
thirty_second,598832,598832,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",0.02,True
first_10_slice,780630,780630,saajna,True,subway-enc,0.02,True
second_10_slice,780630,790630,saajna,True,Amazon.in - Aaj kya Khareeda_  Personal Care-enc,0.01,True
third_10_slice,780630,800630,saajna,True,OnePlus 11R 5G Solar Red  Relive the Red Rush-enc,0.01,True
first_20_slice,780630,780630,saajna,True,subway-enc,0.02,True
second_20_slice,780630,790630,saajna,True,Amazon.in - Aaj kya Khareeda_  Personal Care-enc,0.01,True
thirty_second,780630,780630,saajna,True,subway-enc,0.01,True
first_10_slice,354282,354282,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,OnePlus 12 - Smooth Beyond Belief-enc,0.03,False
second_10_slice,354282,364282,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.03,True
third_10_slice,354282,374282,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.02,True
first_20_slice,354282,354282,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.02,True
second_20_slice,354282,364282,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.03,True
thirty_second,354282,354282,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.02,True
first_10_slice,170294,170294,juice_wrld,True,Be Extraordinary Everyday With Myntra-enc,0.01,True
second_10_slice,170294,180294,juice_wrld,True,Save Your Team From Endless Writing Tasks  Grammarly for Business-enc,0.01,True
third_10_slice,170294,190294,juice_wrld,True,Be Extraordinary Everyday With Myntra-enc,0.01,True
first_20_slice,170294,170294,juice_wrld,True,pizza_hut-enc,0.01,True
second_20_slice,170294,180294,juice_wrld,True,Save Your Team From Endless Writing Tasks  Grammarly for Business-enc,0.01,True
thirty_second,170294,170294,juice_wrld,True,pizza_hut-enc,0.01,True
first_10_slice,778373,778373,saajna,True,Farmlite Millet Cookies to make you go Ohohoho!-enc,0.02,True
second_10_slice,778373,788373,saajna,True,Spotify  Sabzi Mandi Sync-enc,0.01,True
third_10_slice,778373,798373,saajna,True,Furlenco presents the Home Sapiens-enc,0.01,True
first_20_slice,778373,778373,saajna,True,Farmlite Millet Cookies to make you go Ohohoho!-enc,0.01,True
second_20_slice,778373,788373,saajna,True,Spotify  Sabzi Mandi Sync-enc,0.01,True
thirty_second,778373,778373,saajna,True,OnePlus 11R 5G Solar Red  Relive the Red Rush-enc,0.01,True
first_10_slice,232017,232017,juice_wrld,True,Furlenco presents the Home Sapiens-enc,0.01,True
second_10_slice,232017,242017,juice_wrld,True,Be Extraordinary Everyday With Myntra-enc,0.01,True
third_10_slice,232017,252017,juice_wrld,True,Furlenco presents the Home Sapiens-enc,0.01,True
first_20_slice,232017,232017,juice_wrld,True,Furlenco presents the Home Sapiens-enc,0.01,True
second_20_slice,232017,242017,juice_wrld,True,Be Extraordinary Everyday With Myntra-enc,0.01,True
thirty_second,232017,232017,juice_wrld,True,Furlenco presents the Home Sapiens-enc,0.01,True
first_10_slice,282131,282131,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,0.02,True
second_10_slice,282131,292131,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,0.05,True
third_10_slice,282131,302131,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,0.03,True
first_20_slice,282131,282131,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,0.04,True
second_20_slice,282131,292131,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,0.04,True
thirty_second,282131,282131,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,0.03,True
first_10_slice,650441,650441,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.03,True
second_10_slice,650441,660441,Great for the good  ft. Rahul Dravid  CRED-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.02,False
third_10_slice,650441,670441,Great for the good  ft. Rahul Dravid  CRED-enc,False,Great for the good  ft. Rahul Dravid  CRED-enc,0.01,True
first_20_slice,650441,650441,Great for the good  ft. Rahul Dravid  CRED-enc,False,Great for the good  ft. Rahul Dravid  CRED-enc,0.02,True
second_20_slice,650441,660441,Great for the good  ft. Rahul Dravid  CRED-enc,False,OnePlus 12 - Smooth Beyond Belief-enc,0.03,False
thirty_second,650441,650441,Great for the good  ft. Rahul Dravid  CRED-enc,False,Great for the good  ft. Rahul Dravid  CRED-enc,0.02,True
first_10_slice,160720,160720,juice_wrld,True,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.01,True
second_10_slice,160720,170720,juice_wrld,True,OnePlus 11R 5G Solar Red  Relive the Red Rush-enc,0.02,True
third_10_slice,160720,180720,juice_wrld,True,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,0.02,True
first_20_slice,160720,160720,juice_wrld,True,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.01,True
second_20_slice,160720,170720,juice_wrld,True,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,0.01,True
thirty_second,160720,160720,juice_wrld,True,OnePlus 12 - Smooth Beyond Belief-enc,0.03,True
first_10_slice,148653,148653,juice_wrld,True,OnePlus 12 - Smooth Beyond Belief-enc,0.03,True
second_10_slice,148653,158653,juice_wrld,True,Eat what makes you happy  Dum Dum Fire Fire  Zomato-enc,0.01,True
third_10_slice,148653,168653,juice_wrld,True,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.01,True
first_20_slice,148653,148653,juice_wrld,True,OnePlus 12 - Smooth Beyond Belief-enc,0.03,True
second_20_slice,148653,158653,juice_wrld,True,Eat what makes you happy  Dum Dum Fire Fire  Zomato-enc,0.01,True
thirty_second,148653,148653,juice_wrld,True,OnePlus 12 - Smooth Beyond Belief-enc,0.03,True
first_10_slice,622118,622118,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.02,True
second_10_slice,622118,632118,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.03,True
third_10_slice,622118,642118,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.03,True
first_20_slice,622118,622118,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.02,True
second_20_slice,622118,632118,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.03,True
thirty_second,622118,622118,Great for the Good  ft. Neeraj Chopra  CRED-enc,False,Great for the Good  ft. Neeraj Chopra  CRED-enc,0.02,True
first_10_slice,125581,125581,juice_wrld,True,No geometry box_ No problem for #SuperPapa!-enc,0.01,True
second_10_slice,125581,135581,juice_wrld,True,The-Lights-Galaxia--While-She-Sleeps-enc,0.05,True
third_10_slice,125581,145581,juice_wrld,True,Play it different  CRED-enc,0.01,True
first_20_slice,125581,125581,juice_wrld,True,The-Lights-Galaxia--While-She-Sleeps-enc,0.05,True
second_20_slice,125581,135581,juice_wrld,True,OnePlus 12 - Smooth Beyond Belief-enc,0.03,True
thirty_second,125581,125581,juice_wrld,True,The-Lights-Galaxia--While-She-Sleeps-enc,0.05,True
first_10_slice,336300,336300,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.01,False
second_10_slice,336300,346300,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,OnePlus 12 - Smooth Beyond Belief-enc,0.03,False
third_10_slice,336300,356300,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.02,True
first_20_slice,336300,336300,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.02,True
second_20_slice,336300,346300,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.02,True
thirty_second,336300,336300,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.02,True
first_10_slice,478338,478338,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!-enc,0.02,True
second_10_slice,478338,488338,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!-enc,0.03,True
third_10_slice,478338,498338,Furlenco presents the Home Sapiens-enc,False,Furlenco presents the Home Sapiens-enc,0.03,True
first_20_slice,478338,478338,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!-enc,0.02,True
second_20_slice,478338,488338,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!-enc,0.02,True
thirty_second,478338,478338,Farmlite Millet Cookies to make you go Ohohoho!-enc,False,Farmlite Millet Cookies to make you go Ohohoho!-enc,0.02,True
first_10_slice,376345,376345,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.02,True
second_10_slice,376345,386345,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.02,True
third_10_slice,376345,396345,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,0.02,True
first_20_slice,376345,376345,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.02,True
second_20_slice,376345,386345,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,0.02,False
thirty_second,376345,376345,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,0.02,True
first_10_slice,178044,178044,juice_wrld,True,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,0.01,True
second_10_slice,178044,188044,juice_wrld,True,subway-enc,0.01,True
third_10_slice,178044,198044,juice_wrld,True,Furlenco presents the Home Sapiens-enc,0.01,True
first_20_slice,178044,178044,juice_wrld,True,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,0.01,True
second_20_slice,178044,188044,juice_wrld,True,Play it different  ft. Ravi Shastri  CRED-enc,0.01,True
thirty_second,178044,178044,juice_wrld,True,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",0.01,True
first_10_slice,589152,589152,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",0.03,True
second_10_slice,589152,599152,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",0.03,True
third_10_slice,589152,609152,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",0.02,True
first_20_slice,589152,589152,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",0.03,True
second_20_slice,589152,599152,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",0.02,True
thirty_second,589152,589152,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",False,"Bingo! Original Style  Taste so original, duplicate impossible!  Hindi  30 sec-enc",0.02,True
first_10_slice,271410,271410,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,0.01,True
second_10_slice,271410,281410,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,The-Lights-Galaxia--While-She-Sleeps-enc,0.06,False
third_10_slice,271410,291410,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,0.05,True
first_20_slice,271410,271410,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,0.02,True
second_20_slice,271410,281410,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,The-Lights-Galaxia--While-She-Sleeps-enc,0.05,False
thirty_second,271410,271410,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,False,Gujarat Tourism Advertisement Ft. Amitabh Bachan  Ahmedabad Tourism-enc,0.03,True
first_10_slice,761705,761705,saajna,True,OnePlus 12 - Smooth Beyond Belief-enc,0.03,True
second_10_slice,761705,771705,saajna,True,Be Extraordinary Everyday With Myntra-enc,0.01,True
third_10_slice,761705,781705,saajna,True,The-Lights-Galaxia--While-She-Sleeps-enc,0.05,True
first_20_slice,761705,761705,saajna,True,OnePlus 12 - Smooth Beyond Belief-enc,0.03,True
second_20_slice,761705,771705,saajna,True,Myntra x Kiara Advani (Flight)-enc,0.01,True
thirty_second,761705,761705,saajna,True,OnePlus 12 - Smooth Beyond Belief-enc,0.03,True
first_10_slice,3531,3531,subway-enc,False,subway-enc,0.04,True
second_10_slice,3531,13531,subway-enc,False,subway-enc,0.02,True
third_10_slice,3531,23531,subway-enc,False,subway-enc,0.03,True
first_20_slice,3531,3531,subway-enc,False,subway-enc,0.03,True
